user_story,uml_json,label,
"As a customer, I want to be able to create an account and save my payment and delivery information for future orders.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'email', 'type': 'String'}, {'name': 'password', 'type': 'String'}]}, {'name': 'PaymentInfo', 'attributes': [{'name': 'cardNumber', 'type': 'String'}, {'name': 'expiryDate', 'type': 'String'}, {'name': 'cardHolderName', 'type': 'String'}]}, {'name': 'DeliveryInfo', 'attributes': [{'name': 'address', 'type': 'String'}, {'name': 'city', 'type': 'String'}, {'name': 'postalCode', 'type': 'String'}, {'name': 'phoneNumber', 'type': 'String'}]}], 'relationships': [{'from': 'Customer', 'to': 'PaymentInfo', 'type': 'association', 'multiplicity': '*'}, {'from': 'Customer', 'to': 'DeliveryInfo', 'type': 'association', 'multiplicity': '*'}]}",Account,
"As a customer, I want to be able to view the nutritional information and allergen information for each menu item so that I can make informed choices.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'MenuItem', 'attributes': [{'name': 'itemId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'description', 'type': 'String'}, {'name': 'price', 'type': 'float'}]}, {'name': 'NutritionalInfo', 'attributes': [{'name': 'calories', 'type': 'int'}, {'name': 'fat', 'type': 'float'}, {'name': 'protein', 'type': 'float'}, {'name': 'carbohydrates', 'type': 'float'}]}, {'name': 'AllergenInfo', 'attributes': [{'name': 'containsNuts', 'type': 'Boolean'}, {'name': 'containsDairy', 'type': 'Boolean'}, {'name': 'containsGluten', 'type': 'Boolean'}, {'name': 'otherAllergens', 'type': 'String'}]}], 'relationships': [{'from': 'MenuItem', 'to': 'NutritionalInfo', 'type': 'association', 'multiplicity': '1'}, {'from': 'MenuItem', 'to': 'AllergenInfo', 'type': 'association', 'multiplicity': '1'}]}",Food,
"As a customer, I want to be able to redeem rewards or use discount codes for my orders.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'email', 'type': 'String'}]}, {'name': 'Order', 'attributes': [{'name': 'orderId', 'type': 'String'}, {'name': 'orderDate', 'type': 'Date'}, {'name': 'totalAmount', 'type': 'float'}, {'name': 'discountApplied', 'type': 'float'}]}, {'name': 'Reward', 'attributes': [{'name': 'rewardId', 'type': 'String'}, {'name': 'code', 'type': 'String'}, {'name': 'value', 'type': 'float'}, {'name': 'expirationDate', 'type': 'Date'}]}, {'name': 'DiscountCode', 'attributes': [{'name': 'code', 'type': 'String'}, {'name': 'percentageOff', 'type': 'float'}, {'name': 'validUntil', 'type': 'Date'}]}], 'relationships': [{'from': 'Customer', 'to': 'Order', 'type': 'association', 'multiplicity': '*'}, {'from': 'Customer', 'to': 'Reward', 'type': 'association', 'multiplicity': '*'}, {'from': 'Order', 'to': 'DiscountCode', 'type': 'association', 'multiplicity': '0..1'}]}",Promotions,
"As a customer, I want to be able to see the restaurant's ratings and reviews from third-party platforms like Yelp or Google.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Restaurant', 'attributes': [{'name': 'restaurantId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'address', 'type': 'String'}]}, {'name': 'Review', 'attributes': [{'name': 'platform', 'type': 'String'}, {'name': 'rating', 'type': 'float'}, {'name': 'comment', 'type': 'String'}, {'name': 'reviewer', 'type': 'String'}, {'name': 'reviewDate', 'type': 'Date'}]}], 'relationships': [{'from': 'Restaurant', 'to': 'Review', 'type': 'association', 'multiplicity': '*'}, {'from': 'Customer', 'to': 'Restaurant', 'type': 'association', 'multiplicity': '*'}]}",Reviews,
"As a customer, I want to be able to split the bill with friends or colleagues when placing a group order.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'GroupOrder', 'attributes': [{'name': 'groupOrderId', 'type': 'String'}, {'name': 'totalAmount', 'type': 'float'}]}, {'name': 'Participant', 'attributes': [{'name': 'participantId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'amountToPay', 'type': 'float'}]}], 'relationships': [{'from': 'Customer', 'to': 'GroupOrder', 'type': 'association', 'multiplicity': '*'}, {'from': 'GroupOrder', 'to': 'Participant', 'type': 'association', 'multiplicity': '*'}]}",Ordering,
"As a customer, I want to be able to view the restaurant's specials and promotions when browsing the menu.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Restaurant', 'attributes': [{'name': 'restaurantId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'address', 'type': 'String'}]}, {'name': 'MenuItem', 'attributes': [{'name': 'itemId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'price', 'type': 'float'}, {'name': 'isSpecial', 'type': 'Boolean'}]}, {'name': 'Promotion', 'attributes': [{'name': 'promotionId', 'type': 'String'}, {'name': 'description', 'type': 'String'}, {'name': 'discountPercentage', 'type': 'float'}, {'name': 'validUntil', 'type': 'Date'}]}], 'relationships': [{'from': 'Restaurant', 'to': 'MenuItem', 'type': 'association', 'multiplicity': '*'}, {'from': 'Restaurant', 'to': 'Promotion', 'type': 'association', 'multiplicity': '*'}, {'from': 'MenuItem', 'to': 'Promotion', 'type': 'association', 'multiplicity': '0..1'}]}",Promotions,
"As a customer, I want to be able to split the bill with friends or colleagues when placing a group order.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'GroupOrder', 'attributes': [{'name': 'groupOrderId', 'type': 'String'}, {'name': 'totalAmount', 'type': 'float'}]}, {'name': 'Participant', 'attributes': [{'name': 'participantId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'shareAmount', 'type': 'float'}]}], 'relationships': [{'from': 'Customer', 'to': 'GroupOrder', 'type': 'association', 'multiplicity': '*'}, {'from': 'GroupOrder', 'to': 'Participant', 'type': 'association', 'multiplicity': '*'}]}",Ordering,
"As a customer, I want to be able to view the restaurant's specials and promotions when browsing the menu.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Restaurant', 'attributes': [{'name': 'restaurantId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'address', 'type': 'String'}]}, {'name': 'MenuItem', 'attributes': [{'name': 'itemId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'price', 'type': 'float'}, {'name': 'isSpecial', 'type': 'boolean'}]}, {'name': 'Promotion', 'attributes': [{'name': 'promotionId', 'type': 'String'}, {'name': 'description', 'type': 'String'}, {'name': 'discount', 'type': 'float'}, {'name': 'validUntil', 'type': 'Date'}]}], 'relationships': [{'from': 'Restaurant', 'to': 'MenuItem', 'type': 'association', 'multiplicity': '*'}, {'from': 'Restaurant', 'to': 'Promotion', 'type': 'association', 'multiplicity': '*'}, {'from': 'MenuItem', 'to': 'Promotion', 'type': 'association', 'multiplicity': '0..1'}, {'from': 'Customer', 'to': 'Restaurant', 'type': 'association', 'multiplicity': '*'}]}",Promotions,
"As a customer, I want to be able to leave delivery instructions for the restaurant, such as gate codes or special parking arrangements.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Order', 'attributes': [{'name': 'orderId', 'type': 'String'}, {'name': 'deliveryInstructions', 'type': 'String'}, {'name': 'totalAmount', 'type': 'float'}]}, {'name': 'Restaurant', 'attributes': [{'name': 'restaurantId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'address', 'type': 'String'}]}], 'relationships': [{'from': 'Customer', 'to': 'Order', 'type': 'association', 'multiplicity': '*'}, {'from': 'Order', 'to': 'Restaurant', 'type': 'association', 'multiplicity': '1'}]}",Ordering,
"As a customer, I want to be able to browse and search for products easily and efficiently.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Product', 'attributes': [{'name': 'productId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'description', 'type': 'String'}, {'name': 'price', 'type': 'float'}]}, {'name': 'Category', 'attributes': [{'name': 'categoryId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}], 'relationships': [{'from': 'Product', 'to': 'Category', 'type': 'association', 'multiplicity': '1'}, {'from': 'Customer', 'to': 'Product', 'type': 'association', 'multiplicity': '*'}, {'from': 'Customer', 'to': 'Category', 'type': 'association', 'multiplicity': '*'}]}",E-commerce,
"As a customer, I want to be able to add products to my cart and review my cart before checking out.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Product', 'attributes': [{'name': 'productId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'price', 'type': 'float'}]}, {'name': 'Cart', 'attributes': [{'name': 'cartId', 'type': 'String'}, {'name': 'totalAmount', 'type': 'float'}]}, {'name': 'CartItem', 'attributes': [{'name': 'quantity', 'type': 'int'}, {'name': 'subtotal', 'type': 'float'}]}], 'relationships': [{'from': 'Customer', 'to': 'Cart', 'type': 'association', 'multiplicity': '1'}, {'from': 'Cart', 'to': 'CartItem', 'type': 'association', 'multiplicity': '*'}, {'from': 'CartItem', 'to': 'Product', 'type': 'association', 'multiplicity': '1'}]}",E-commerce,
"As a customer, I want to be able to track my order's status and receive updates throughout the delivery process.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Order', 'attributes': [{'name': 'orderId', 'type': 'String'}, {'name': 'totalAmount', 'type': 'float'}, {'name': 'status', 'type': 'String'}, {'name': 'estimatedDeliveryTime', 'type': 'DateTime'}]}, {'name': 'OrderStatus', 'attributes': [{'name': 'status', 'type': 'String'}, {'name': 'updatedAt', 'type': 'DateTime'}, {'name': 'message', 'type': 'String'}]}], 'relationships': [{'from': 'Customer', 'to': 'Order', 'type': 'association', 'multiplicity': '*'}, {'from': 'Order', 'to': 'OrderStatus', 'type': 'association', 'multiplicity': '*'}]}",Tracking,
"As a customer, I want to be able to view customer reviews and ratings for products.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Product', 'attributes': [{'name': 'productId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'description', 'type': 'String'}, {'name': 'price', 'type': 'float'}]}, {'name': 'Review', 'attributes': [{'name': 'reviewId', 'type': 'String'}, {'name': 'rating', 'type': 'int'}, {'name': 'comment', 'type': 'String'}, {'name': 'reviewDate', 'type': 'Date'}]}], 'relationships': [{'from': 'Customer', 'to': 'Review', 'type': 'association', 'multiplicity': '*'}, {'from': 'Product', 'to': 'Review', 'type': 'association', 'multiplicity': '*'}]}",Reviews,
"As a customer, I want to be able to easily return or exchange products if they are not satisfactory.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Order', 'attributes': [{'name': 'orderId', 'type': 'String'}, {'name': 'orderDate', 'type': 'Date'}, {'name': 'totalAmount', 'type': 'float'}]}, {'name': 'OrderItem', 'attributes': [{'name': 'orderItemId', 'type': 'String'}, {'name': 'quantity', 'type': 'int'}, {'name': 'productName', 'type': 'String'}]}, {'name': 'ReturnRequest', 'attributes': [{'name': 'requestId', 'type': 'String'}, {'name': 'reason', 'type': 'String'}, {'name': 'status', 'type': 'String'}]}, {'name': 'ExchangeRequest', 'attributes': [{'name': 'requestId', 'type': 'String'}, {'name': 'reason', 'type': 'String'}, {'name': 'status', 'type': 'String'}, {'name': 'requestedProduct', 'type': 'String'}]}], 'relationships': [{'from': 'Customer', 'to': 'Order', 'type': 'association', 'multiplicity': '*'}, {'from': 'Order', 'to': 'OrderItem', 'type': 'association', 'multiplicity': '*'}, {'from': 'OrderItem', 'to': 'ReturnRequest', 'type': 'association', 'multiplicity': '0..1'}, {'from': 'OrderItem', 'to': 'ExchangeRequest', 'type': 'association', 'multiplicity': '0..1'}]}",	E-commerce,
"As a customer, I want to be able to receive recommendations for products based on my browsing and purchase history.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Product', 'attributes': [{'name': 'productId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'category', 'type': 'String'}, {'name': 'price', 'type': 'float'}]}, {'name': 'BrowsingHistory', 'attributes': [{'name': 'historyId', 'type': 'String'}, {'name': 'viewedAt', 'type': 'DateTime'}]}, {'name': 'Purchase', 'attributes': [{'name': 'purchaseId', 'type': 'String'}, {'name': 'purchasedAt', 'type': 'DateTime'}, {'name': 'productId', 'type': 'String'}]}], 'relationships': [{'from': 'Customer', 'to': 'BrowsingHistory', 'type': 'association', 'multiplicity': '*'}, {'from': 'Customer', 'to': 'Purchase', 'type': 'association', 'multiplicity': '*'}, {'from': 'BrowsingHistory', 'to': 'Product', 'type': 'association', 'multiplicity': '1'}, {'from': 'Purchase', 'to': 'Product', 'type': 'association', 'multiplicity': '1'}, {'from': 'Customer', 'to': 'Product', 'type': 'association', 'multiplicity': '*', 'label': 'receivesRecommendations'}]}",	E-commerce,
"As a customer, I want to be able to access customer support easily and receive timely assistance.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'SupportAgent', 'attributes': [{'name': 'agentId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'department', 'type': 'String'}]}, {'name': 'SupportTicket', 'attributes': [{'name': 'ticketId', 'type': 'String'}, {'name': 'issueDescription', 'type': 'String'}, {'name': 'status', 'type': 'String'}, {'name': 'createdAt', 'type': 'DateTime'}]}], 'relationships': [{'from': 'Customer', 'to': 'SupportTicket', 'type': 'association', 'multiplicity': '*'}, {'from': 'SupportAgent', 'to': 'SupportTicket', 'type': 'association', 'multiplicity': '*'}]}", Other,
"As a customer, I want to be able to pay securely and conveniently.","{'classes': [{'name': 'Customer', 'attributes': [{'name': 'customerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Payment', 'attributes': [{'name': 'paymentId', 'type': 'String'}, {'name': 'amount', 'type': 'float'}, {'name': 'status', 'type': 'String'}, {'name': 'paymentDate', 'type': 'DateTime'}]}, {'name': 'PaymentMethod', 'attributes': [{'name': 'methodId', 'type': 'String'}, {'name': 'type', 'type': 'String'}, {'name': 'provider', 'type': 'String'}, {'name': 'maskedDetails', 'type': 'String'}]}], 'relationships': [{'from': 'Customer', 'to': 'Payment', 'type': 'association', 'multiplicity': '*'}, {'from': 'Payment', 'to': 'PaymentMethod', 'type': 'association', 'multiplicity': '1'}]}",Payments,
"As a traveler, I want to be able to search for available accommodations in my destination.","{'classes': [{'name': 'Traveler', 'attributes': [{'name': 'travelerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Accommodation', 'attributes': [{'name': 'accommodationId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'location', 'type': 'String'}, {'name': 'availability', 'type': 'List<DateRange>'}, {'name': 'pricePerNight', 'type': 'float'}]}, {'name': 'DateRange', 'attributes': [{'name': 'startDate', 'type': 'Date'}, {'name': 'endDate', 'type': 'Date'}]}], 'relationships': [{'from': 'Traveler', 'to': 'Accommodation', 'type': 'association', 'multiplicity': '*', 'label': 'searches'}, {'from': 'Accommodation', 'to': 'DateRange', 'type': 'association', 'multiplicity': '*', 'label': 'availableDates'}]}",Travel,
"As a traveler, I want to be able to book a specific accommodation for my desired dates.","{'classes': [{'name': 'Traveler', 'attributes': [{'name': 'travelerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Accommodation', 'attributes': [{'name': 'accommodationId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'location', 'type': 'String'}, {'name': 'pricePerNight', 'type': 'float'}]}, {'name': 'DateRange', 'attributes': [{'name': 'startDate', 'type': 'Date'}, {'name': 'endDate', 'type': 'Date'}]}, {'name': 'Booking', 'attributes': [{'name': 'bookingId', 'type': 'String'}, {'name': 'checkInDate', 'type': 'Date'}, {'name': 'checkOutDate', 'type': 'Date'}, {'name': 'totalAmount', 'type': 'float'}]}], 'relationships': [{'from': 'Traveler', 'to': 'Booking', 'type': 'association', 'multiplicity': '*', 'label': 'makes'}, {'from': 'Booking', 'to': 'Accommodation', 'type': 'association', 'multiplicity': '1', 'label': 'for'}, {'from': 'Booking', 'to': 'DateRange', 'type': 'association', 'multiplicity': '1', 'label': 'during'}]}",Travel,
"As a traveler, I want to be able to compare different accommodations based on their features and ratings.","{'classes': [{'name': 'Traveler', 'attributes': [{'name': 'travelerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Accommodation', 'attributes': [{'name': 'accommodationId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'location', 'type': 'String'}, {'name': 'pricePerNight', 'type': 'float'}, {'name': 'features', 'type': 'List<String>'}, {'name': 'rating', 'type': 'float'}]}, {'name': 'ComparisonResult', 'attributes': [{'name': 'comparedAccommodationIds', 'type': 'List<String>'}, {'name': 'summary', 'type': 'String'}]}], 'relationships': [{'from': 'Traveler', 'to': 'ComparisonResult', 'type': 'association', 'multiplicity': '1', 'label': 'generates'}, {'from': 'ComparisonResult', 'to': 'Accommodation', 'type': 'association', 'multiplicity': '*', 'label': 'compares'}]}",Travel,
"As a traveler, I want to be able to book a combination of accommodations, such as flights and hotels.","{'classes': [{'name': 'Traveler', 'attributes': [{'name': 'travelerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'TravelPackage', 'attributes': [{'name': 'packageId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'totalPrice', 'type': 'float'}]}, {'name': 'Flight', 'attributes': [{'name': 'flightId', 'type': 'String'}, {'name': 'airline', 'type': 'String'}, {'name': 'departure', 'type': 'String'}, {'name': 'arrival', 'type': 'String'}, {'name': 'price', 'type': 'float'}]}, {'name': 'Hotel', 'attributes': [{'name': 'hotelId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'location', 'type': 'String'}, {'name': 'pricePerNight', 'type': 'float'}]}, {'name': 'Booking', 'attributes': [{'name': 'bookingId', 'type': 'String'}, {'name': 'bookingDate', 'type': 'Date'}, {'name': 'totalAmount', 'type': 'float'}]}], 'relationships': [{'from': 'Traveler', 'to': 'Booking', 'type': 'association', 'multiplicity': '*', 'label': 'makes'}, {'from': 'Booking', 'to': 'TravelPackage', 'type': 'association', 'multiplicity': '1', 'label': 'for'}, {'from': 'TravelPackage', 'to': 'Flight', 'type': 'association', 'multiplicity': '1', 'label': 'includes'}, {'from': 'TravelPackage', 'to': 'Hotel', 'type': 'association', 'multiplicity': '1', 'label': 'includes'}]}",Travel,
"As a traveler, I want to be able to track my booking status and receive timely notifications.","{'classes': [{'name': 'Traveler', 'attributes': [{'name': 'travelerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Booking', 'attributes': [{'name': 'bookingId', 'type': 'String'}, {'name': 'status', 'type': 'String'}, {'name': 'bookingDate', 'type': 'Date'}]}, {'name': 'Notification', 'attributes': [{'name': 'notificationId', 'type': 'String'}, {'name': 'message', 'type': 'String'}, {'name': 'timestamp', 'type': 'DateTime'}, {'name': 'type', 'type': 'String'}]}], 'relationships': [{'from': 'Traveler', 'to': 'Booking', 'type': 'association', 'multiplicity': '*', 'label': 'has'}, {'from': 'Traveler', 'to': 'Notification', 'type': 'association', 'multiplicity': '*', 'label': 'receives'}, {'from': 'Booking', 'to': 'Notification', 'type': 'association', 'multiplicity': '*', 'label': 'triggers'}]}",Travel,
"As a traveler, I want to be able to view the location and nearby attractions of my booked accommodations.","{'classes': [{'name': 'Traveler', 'attributes': [{'name': 'travelerId', 'type': 'String'}, {'name': 'name', 'type': 'String'}]}, {'name': 'Booking', 'attributes': [{'name': 'bookingId', 'type': 'String'}, {'name': 'bookingDate', 'type': 'Date'}]}, {'name': 'Accommodation', 'attributes': [{'name': 'accommodationId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'location', 'type': 'String'}]}, {'name': 'Attraction', 'attributes': [{'name': 'attractionId', 'type': 'String'}, {'name': 'name', 'type': 'String'}, {'name': 'description', 'type': 'String'}, {'name': 'distanceFromAccommodation', 'type': 'float'}]}], 'relationships': [{'from': 'Traveler', 'to': 'Booking', 'type': 'association', 'multiplicity': '*', 'label': 'has'}, {'from': 'Booking', 'to': 'Accommodation', 'type': 'association', 'multiplicity': '1', 'label': 'for'}, {'from': 'Accommodation', 'to': 'Attraction', 'type': 'association', 'multiplicity': '*', 'label': 'hasNearby'}]}",Travel,
